report_date,report_name,report_period,quarter_name,metric_name,value,single,yoy,mom,single_yoy
2023-12-31,2023年报,2023-4,2023四季度,other,132351707.5,,-0.33971929,,
2023-12-31,2023年报,2023-4,2023四季度,invest_cash_inflow_total,5932895899.97,4669083012.3300,2.99147767,19.38880707,18.99549948
2023-12-31,2023年报,2023-4,2023四季度,pay_subsidiary_and_other_net_cash,39400521.92,0.0000,-0.99448421,,-1.00000000
2023-12-31,2023年报,2023-4,2023四季度,act_cash_flow_net,18290357650.56,6582073539.1600,0.36288530,0.15546354,0.44800535
2023-12-31,2023年报,2023-4,2023四季度,pay_dividends_profits_interest_cash,8415894369.75,507429558.8000,0.12205146,0.33685082,0.32775682
2023-12-31,2023年报,2023-4,2023四季度,invest_cash_flow_net,-16044497913.83,-3498905267.4500,0.17778342,-1.39864532,0.55146883
2023-12-31,2023年报,2023-4,2023四季度,convertible_corporate_bonds,,,,,
2023-12-31,2023年报,2023-4,2023四季度,financing_cash_flow_net_special,,,,,
2023-12-31,2023年报,2023-4,2023四季度,receive_obtain_load_cash,285353864407.63,74468369035.3200,0.16202468,0.28179766,0.28828118
2023-12-31,2023年报,2023-4,2023四季度,received_reinsurance_net_cash,,,,,
2023-12-31,2023年报,2023-4,2023四季度,operating_receivable_addition,-1751369897.44,,-1.62930052,,
2023-12-31,2023年报,2023-4,2023四季度,pay_invest_cash,14982088652.08,6038396378.6200,1.13578028,274.69172676,-0.04194258
2023-12-31,2023年报,2023-4,2023四季度,receive_disposal_subsidiary_net_cash,,,,,
2023-12-31,2023年报,2023-4,2023四季度,receive_interest_fee_and_commission_cash,163043516.45,5893099.5800,0.17723015,-0.88959107,-0.84539840
2023-12-31,2023年报,2023-4,2023四季度,financing_cash_flow_net,7258480466.95,-5820452062.0300,-0.17341102,-2.37477921,-1.50542350
2023-12-31,2023年报,2023-4,2023四季度,inventory_decrease,1789456605.89,,1.46009714,,
2023-12-31,2023年报,2023-4,2023四季度,pay_fixed_assets_etc_cash,6955597704.25,2129429576.1600,0.04656712,0.24479783,0.26990912
2023-12-31,2023年报,2023-4,2023四季度,cash_net_profit,10284306198.28,,0.10367879,,
2023-12-31,2023年报,2023-4,2023四季度,deferred_income_tax_assets_addition,124635685.72,,8.92271241,,
2023-12-31,2023年报,2023-4,2023四季度,cash_ending_overage,41812079851.67,,0.27520847,,
