stock_code,report_year,source,rds_name,rds_value,tushare_label,tushare_value,abs_diff,rel_err_pct,class,color
600887,2020,tushare_vs_rds,[balance_sheet] 货币资金,11695184002.06,[balance_sheet] money_cap,11695184002.06,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[balance_sheet] 衍生金融资产,262828575.48,[balance_sheet] deriv_assets,262828575.48,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[balance_sheet] 其中：应收票据,142875000.0,[balance_sheet] notes_receiv,142875000.0,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[balance_sheet] 其中：应收账款,1616344944.47,[balance_sheet] accounts_receiv,1616344944.47,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[balance_sheet] 预付款项,1289734014.62,[balance_sheet] prepayment,1289734014.62,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[balance_sheet] 其他应收款,115485839.79,[balance_sheet] oth_receiv,115485839.79,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[balance_sheet] 存货,7545025549.66,[balance_sheet] inventories,7545025549.66,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[balance_sheet] 一年内到期的非流动资产,1562208973.1,[balance_sheet] nca_within_1y,1562208973.1,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[balance_sheet] 交易性金融资产,123219805.15,[balance_sheet] trad_asset,123219805.15,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[balance_sheet] 其他流动资产,4027672495.2,[balance_sheet] oth_cur_assets,4027672495.2,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[balance_sheet] 流动资产合计,28380579199.53,[balance_sheet] total_cur_assets,28380579199.53,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[balance_sheet] 长期股权投资,2902817588.63,[balance_sheet] lt_eqt_invest,2902817588.63,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[balance_sheet] 投资性房地产,520452139.63,[balance_sheet] invest_real_estate,520452139.63,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[balance_sheet] 固定资产,23343414532.36,[balance_sheet] fix_assets,23343414532.36,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[balance_sheet] 在建工程,5424737763.17,[balance_sheet] cip_total,5424737763.17,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[balance_sheet] 无形资产,1535784940.81,[balance_sheet] intan_assets,1535784940.81,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[balance_sheet] 商誉,361550984.74,[balance_sheet] goodwill,361550984.74,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[balance_sheet] 长期待摊费用,544681837.83,[balance_sheet] lt_amor_exp,544681837.83,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[balance_sheet] 递延所得税资产,1294391960.78,[balance_sheet] defer_tax_assets,1294391960.78,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[balance_sheet] 其他权益工具投资,3629622775.68,[balance_sheet] bond_payable,3762450000.0,132827224.32000017,3.659532478416173,large_error,red
600887,2020,tushare_vs_rds,[balance_sheet] 其他非流动金融资产,264690792.52,[balance_sheet] deriv_assets,262828575.48,1862217.0400000215,0.7035443213837189,rounded,orange
600887,2020,tushare_vs_rds,[balance_sheet] 其他非流动资产,2951539869.61,[balance_sheet] oth_nca,2951539869.61,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[balance_sheet] 非流动资产合计,42773685185.76,[balance_sheet] total_nca,42773685185.76,0.0,0.0,exact,green
600887,2020,tushare_vs_rds,[balance_sheet] 资产总计,71154264385.29,[balance_sheet] total_assets,71154264385.29,0.0,0.0,exact,green
