stock_code,ticker,report_year,report_type,statement_type,item_name,item_value
600585,600585.SH,2025,annual,income_statement,利润总额,10419956581
600585,600585.SH,2025,annual,income_statement,加：其他收益,457844642
600585,600585.SH,2025,annual,income_statement,加：营业外收入,492705793
600585,600585.SH,2025,annual,income_statement,投资收益,748688321
600585,600585.SH,2025,annual,income_statement,持续经营净利润,6946834490
600585,600585.SH,2025,annual,income_statement,研发费用,847445108
600585,600585.SH,2025,annual,income_statement,税金及附加,981834644
600585,600585.SH,2025,annual,income_statement,管理费用,6000090919
600585,600585.SH,2025,annual,income_statement,营业利润,10207798203
600585,600585.SH,2025,annual,income_statement,营业收入,82532050796
600585,600585.SH,2025,annual,income_statement,财务费用（收益以“-”号填列）,-913433686
600585,600585.SH,2025,annual,income_statement,资产处置收益（损失以“－”号填列）,-4926426
600585,600585.SH,2025,annual,income_statement,销售费用,3500998769
600585,600585.SH,2025,annual,indicators,净资产收益率,3.99
600585,600585.SH,2025,annual,indicators,每股收益,1.54
601318,601318.SH,2025,annual,balance_sheet,一般风险准备,160677
601318,601318.SH,2025,annual,balance_sheet,买入返售金融资产,183497
601318,601318.SH,2025,annual,balance_sheet,代理买卖证券款,220555
601318,601318.SH,2025,annual,balance_sheet,以公允价值计量且其变动计入当期损益的金融负债,221829
601318,601318.SH,2025,annual,balance_sheet,以公允价值计量且其变动计入当期损益的金融资产,2713327
601318,601318.SH,2025,annual,balance_sheet,使用权资产,8322
601318,601318.SH,2025,annual,balance_sheet,保险合同负债,5360910
601318,601318.SH,2025,annual,balance_sheet,债权投资,1270569
601318,601318.SH,2025,annual,balance_sheet,其他债权投资,3231435
601318,601318.SH,2025,annual,balance_sheet,其他权益工具投资,609550
601318,601318.SH,2025,annual,balance_sheet,其他综合收益,-59972
601318,601318.SH,2025,annual,balance_sheet,其他负债,307700
601318,601318.SH,2025,annual,balance_sheet,其他资产,172080
601318,601318.SH,2025,annual,balance_sheet,减：库存股,-5001
601318,601318.SH,2025,annual,balance_sheet,分出再保险合同负债,537
601318,601318.SH,2025,annual,balance_sheet,分出再保险合同资产,25515
601318,601318.SH,2025,annual,balance_sheet,卖出回购金融资产款,643547
601318,601318.SH,2025,annual,balance_sheet,发放贷款及垫款,3409074
601318,601318.SH,2025,annual,balance_sheet,向中央银行借款,223537
601318,601318.SH,2025,annual,balance_sheet,吸收存款,3588691
601318,601318.SH,2025,annual,balance_sheet,固定资产,44624
601318,601318.SH,2025,annual,balance_sheet,存出资本保证金,15380
601318,601318.SH,2025,annual,balance_sheet,定期存款,361584
601318,601318.SH,2025,annual,balance_sheet,少数股东权益,415569
601318,601318.SH,2025,annual,balance_sheet,应交税费,20302
601318,601318.SH,2025,annual,balance_sheet,应付债券,853661
601318,601318.SH,2025,annual,balance_sheet,应付职工薪酬,60831
601318,601318.SH,2025,annual,balance_sheet,应付账款,5791
601318,601318.SH,2025,annual,balance_sheet,应收账款,43678
601318,601318.SH,2025,annual,balance_sheet,归属于母公司股东权益合计,1000419
601318,601318.SH,2025,annual,balance_sheet,投资性房地产,151411
601318,601318.SH,2025,annual,balance_sheet,拆入资金,118295
601318,601318.SH,2025,annual,balance_sheet,拆出资金,272995
601318,601318.SH,2025,annual,balance_sheet,无形资产,22196
601318,601318.SH,2025,annual,balance_sheet,未分配利润,766914
601318,601318.SH,2025,annual,balance_sheet,盈余公积,12164
601318,601318.SH,2025,annual,balance_sheet,短期借款,84520
601318,601318.SH,2025,annual,balance_sheet,租赁负债,8407
601318,601318.SH,2025,annual,balance_sheet,结算备付金,35330
601318,601318.SH,2025,annual,balance_sheet,股东权益合计,1415988
601318,601318.SH,2025,annual,balance_sheet,衍生金融负债,46862
601318,601318.SH,2025,annual,balance_sheet,衍生金融资产,30002
601318,601318.SH,2025,annual,balance_sheet,负债合计,12482483
601318,601318.SH,2025,annual,balance_sheet,负债和股东权益总计,13898471
601318,601318.SH,2025,annual,balance_sheet,货币资金,745679
601318,601318.SH,2025,annual,balance_sheet,资产总计,13898471
601318,601318.SH,2025,annual,balance_sheet,资本公积,102528
601318,601318.SH,2025,annual,balance_sheet,递延所得税负债,6647
601318,601318.SH,2025,annual,balance_sheet,递延所得税资产,114640
601318,601318.SH,2025,annual,balance_sheet,银行同业及其他金融机构存放款项,528163
601318,601318.SH,2025,annual,balance_sheet,长期借款,150094
601318,601318.SH,2025,annual,balance_sheet,长期应收款,258202
601318,601318.SH,2025,annual,balance_sheet,长期股权投资,141251
601318,601318.SH,2025,annual,balance_sheet,预收保费,31604
601318,601318.SH,2025,annual,cash_flow,一般风险准备,395
601318,601318.SH,2025,annual,cash_flow,买入返售金融资产,8290
601318,601318.SH,2025,annual,cash_flow,以公允价值计量且其变动计入当期损益的金融资产,50562
601318,601318.SH,2025,annual,cash_flow,使用权资产–,85
601318,601318.SH,2025,annual,cash_flow,保单质押贷款净减少额,6959
601318,601318.SH,2025,annual,cash_flow,保险业务卖出回购业务资金净增加额,230683
601318,601318.SH,2025,annual,cash_flow,保险业务拆入资金净减少额–,-1200
601318,601318.SH,2025,annual,cash_flow,保险业务拆入资金净增加额,4199
601318,601318.SH,2025,annual,cash_flow,债权投资,200
601318,601318.SH,2025,annual,cash_flow,偿还债务支付的现金,-1083496
601318,601318.SH,2025,annual,cash_flow,偿还租赁负债支付的现金,-4922
601318,601318.SH,2025,annual,cash_flow,其中：子公司吸收少数股东投资收到的现金,76739
601318,601318.SH,2025,annual,cash_flow,其中：子公司支付给少数股东的股利,-13246
601318,601318.SH,2025,annual,cash_flow,其他债权投资,14683
601318,601318.SH,2025,annual,cash_flow,其他综合收益,223
601318,601318.SH,2025,annual,cash_flow,其他负债,727
601318,601318.SH,2025,annual,cash_flow,其他资产,459
601318,601318.SH,2025,annual,cash_flow,减：库存股–,-5001
601318,601318.SH,2025,annual,cash_flow,分配股利及偿付利息支付的现金,-77146
601318,601318.SH,2025,annual,cash_flow,加：年初现金及现金等价物余额,479045
601318,601318.SH,2025,annual,cash_flow,卖出回购金融资产款,307
601318,601318.SH,2025,annual,cash_flow,发放贷款及垫款净增加额,-102755
601318,601318.SH,2025,annual,cash_flow,发行债券收到的现金,878243
601318,601318.SH,2025,annual,cash_flow,取得借款收到的现金,93075
601318,601318.SH,2025,annual,cash_flow,取得投资收益收到的现金,224837
601318,601318.SH,2025,annual,cash_flow,向中央银行借款净减少额–,-121484
601318,601318.SH,2025,annual,cash_flow,向中央银行借款净增加额,137675
601318,601318.SH,2025,annual,cash_flow,吸收投资收到的现金,76739
601318,601318.SH,2025,annual,cash_flow,固定资产,101
601318,601318.SH,2025,annual,cash_flow,处置固定资产、无形资产和其他长期资产收回的现金净额,708
601318,601318.SH,2025,annual,cash_flow,处置子公司收到的现金净额,9488
601318,601318.SH,2025,annual,cash_flow,子公司赎回其他权益工具支付的现金,-36150
601318,601318.SH,2025,annual,cash_flow,存放中央银行和银行同业款项净减少额,42583
601318,601318.SH,2025,annual,cash_flow,定期存款,12486
601318,601318.SH,2025,annual,cash_flow,客户存款和银行同业存放款项净增加额,173647
601318,601318.SH,2025,annual,cash_flow,应交税费,234
601318,601318.SH,2025,annual,cash_flow,应付债券,30993
601318,601318.SH,2025,annual,cash_flow,应付职工薪酬,1309
601318,601318.SH,2025,annual,cash_flow,投资性房地产,2584
601318,601318.SH,2025,annual,cash_flow,投资支付的现金,-4014957
601318,601318.SH,2025,annual,cash_flow,投资活动使用的现金流量净额,-559953
601318,601318.SH,2025,annual,cash_flow,投资活动现金流入小计,3464308
601318,601318.SH,2025,annual,cash_flow,投资活动现金流出小计,-4024261
601318,601318.SH,2025,annual,cash_flow,拆入资金,4700
601318,601318.SH,2025,annual,cash_flow,支付分出再保险合同的现金净额,-6099
